station name,station latitude,station longitude,use_count
Amsterdam Ave & W 73 St,40.77966809002227,-73.98093044757842,103380
Amsterdam Ave & W 79 St,40.782939100003254,-73.97865170004626,57508
Amsterdam Ave & W 82 St,40.78524672003119,-73.97667321003387,56313
Apache,40.66976709185003,-73.99474382400513,6
Astoria Park S & Shore Blvd,40.776699999991834,-73.9276310000178,10559
Atlantic Ave & Fort Greene Pl,40.68382604000944,-73.97632328001482,26268
Atlantic Ave & Furman St,40.691651829987244,-73.9999786000413,44151
Avenue D & E 12 St,40.72580614000559,-73.97422493995663,28908
Avenue D & E 3 St,40.72082833997704,-73.97793172005869,44513
Avenue D & E 8 St,40.72368361001346,-73.97574812998089,35537
Baltic St & 5 Ave,40.67957659999002,-73.97854971000852,28767
Bank St & Hudson St,40.73652889004309,-74.00618026003318,71859
Bank St & Washington St,40.736196700015114,-74.00859207005445,51507
Banker St & Meserole Ave,40.72606000001077,-73.95620999997807,30275
Barclay St & Church St,40.712912240040296,-74.01020233990874,90150
Barrow St & Hudson St,40.73172427995192,-74.00674435987331,118763
Bayard St & Baxter St,40.716021180009896,-73.99974371997287,67075
Bayard St & Leonard St,40.719155716950816,-73.94885390996933,17502
Bedford Ave & Bergen St,40.676367999988564,-73.95291800002975,17075
Bedford Ave & Nassau Ave,40.72311651003565,-73.95212324007102,52303
Bedford Ave & S 9 St,40.70853073999773,-73.96408963001839,11156
Bergen St & Flatbush Ave,40.68094472346245,-73.97567331790923,28161
Bergen St & Smith St,40.68674430001943,-73.99063168000421,69041
Bergen St & Vanderbilt Ave,40.67943879999137,-73.96804379998149,25922
Berkeley Pl & 6 Ave,40.676530399983335,-73.97846878997355,18077
Berkeley Pl & 7 Ave,40.67514683871384,-73.9752320945263,35326
Berry St & N 8 St,40.71900949999696,-73.95852515005657,50559
Bialystoker Pl & Delancey St,40.71622643998416,-73.98261205995134,39240
Boerum St & Broadway,40.705380770013186,-73.94976519001003,12176
Bond St & Bergen St,40.68496680001353,-73.9862077199558,25656
Bond St & Fulton St,40.689621887881906,-73.98304268717766,42064
Bressler,40.64653836709657,-74.0165877342224,336
Broad St & Bridge St,40.70365181998414,-74.01167796996182,25096
Broadway & 12 St,40.76680000000276,-73.93477739999355,7241
Broadway & Battery Pl,40.704633339910956,-74.01361706008709,87419
Broadway & Berry St,40.71044554002152,-73.96525062996108,42820
Broadway & E 14 St,40.7345456701872,-73.99074142009542,182094
Broadway & E 22 St,40.740343200039895,-73.98955108980583,206701
Broadway & Moylan Pl,40.814325600019394,-73.95902550004409,25168
Broadway & Roebling St,40.70924826275966,-73.96063148975372,33126
Broadway & W 122 St,40.81205619999699,-73.96125469999754,11486
Broadway & W 25 St,40.74286877303224,-73.98918628692627,145515
Broadway & W 29 St,40.74620089998695,-73.98855722994307,116126
Broadway & W 32 St,40.74854861997117,-73.98808415984995,111167
Broadway & W 36 St,40.75097711000152,-73.98765427993474,77373
Broadway & W 37 St,40.7517263200124,-73.98753522991973,46288
Broadway & W 38 St,40.75299640993924,-73.98721619008181,73867
Broadway & W 41 St,40.75513557000069,-73.98658031986295,131242
Broadway & W 49 St,40.760683271027396,-73.98452728986742,121474
Broadway & W 51 St,40.76228825997021,-73.98336183000353,70102
Broadway & W 53 St,40.763440580068874,-73.98268128998915,77023
Broadway & W 56 St,40.765265400048314,-73.9819233799478,99765
Broadway & W 58 St,40.766953169992725,-73.98169333008461,124552
Broadway & W 60 St,40.76915504992704,-73.98191840995193,165832
Broadway & Whipple St,40.70166569999901,-73.9437302999734,14376
Brooklyn Bridge Park - Pier 2,40.698779999985234,-73.99711999997443,21370
Bus Slip & State St,40.70190700002651,-74.01394199999092,48924
Bushwick Ave & Powers St,40.71247660998134,-73.94100004998883,22850
Butler St & Court St,40.684989399985206,-73.99440329000858,17789
Cadman Plaza E & Red Cross Pl,40.69991754997807,-73.98971772996279,47016
Cadman Plaza E & Tillary St,40.695976829985206,-73.99014892004294,27464
Cadman Plaza West & Montague St,40.69383000000358,-73.99053899994276,40361
Cambridge Pl & Gates Ave,40.68487999999748,-73.96303999997836,15072
Canal St & Rutgers St,40.714274870111815,-73.9899002499881,99993
Carlton Ave & Dean St,40.68097410001011,-73.97100970000889,18376
Carlton Ave & Flushing Ave,40.69778699998916,-73.97373600001332,22413
Carlton Ave & Park Ave,40.695807049991444,-73.97355569000959,15614
Carmine St & 6 Ave,40.73038598993906,-74.00214987994039,157729
Carroll St & 5 Ave,40.67516220000105,-73.98148320003509,24462
Carroll St & 6 Ave,40.674088599982596,-73.97872820002178,24213
Carroll St & Bond St,40.67861149998953,-73.9903729199629,20905
Carroll St & Columbia St,40.6830455999897,-74.00348558998797,19689
Carroll St & Franklin Ave,40.66794109999642,-73.9587999999952,3586
Carroll St & Smith St,40.68061099999163,-73.99475825002531,37628
Carroll St & Washington Ave,40.66867439999669,-73.96181479999083,5691
Cathedral Pkwy & Broadway,40.80421299999605,-73.96699103996056,36342
Catherine St & Monroe St,40.71117444003866,-73.99682619002876,44857
Center Blvd & 48 Ave,40.74503800000648,-73.95753900000058,16259
Center Blvd & Borden Ave,40.74161000000984,-73.96044000001699,11159
Central Park North & Adam Clayton Powell Blvd,40.79948400003779,-73.95561299998339,63123
Central Park S & 6 Ave,40.76590935986651,-73.97634151015113,155032
Central Park W & W 96 St,40.79126999996087,-73.96483899997601,71367
Central Park West & W 100 St,40.794066608184956,-73.96286845207214,40698
Central Park West & W 102 St,40.79534599999899,-73.96185999997635,24760
Central Park West & W 68 St,40.77340660008286,-73.97782541997832,96183
Central Park West & W 72 St,40.77579376694256,-73.97620573639871,105757
Central Park West & W 76 St,40.778967839992134,-73.97374736991488,65505
Central Park West & W 85 St,40.78472675006892,-73.96961714987337,80519
Centre St & Chambers St,40.71273265993304,-74.004607299957,139096
Centre St & Worth St,40.71494807000267,-74.00234482005561,48795
Cherry St,40.7121990600122,-73.9794814800463,35190
Christopher St & Greenwich St,40.732915529982236,-74.00711384026012,152618
Clark St & Henry St,40.697601269970704,-73.99344559005023,57203
Classon Ave & St Marks Ave,40.67651979998614,-73.95960820000587,20465
Clermont Ave & Lafayette Ave,40.68764483999209,-73.96968901997438,20708
Clermont Ave & Park Ave,40.695733980001414,-73.97129668001651,14697
Cleveland Pl & Spring St,40.72210378665875,-73.99724900722505,141926
Cliff St & Fulton St,40.70831794364757,-74.0050408244133,22430
Cliff St & Fulton St_1,40.70823502002689,-74.00530062993914,29914
Clinton Ave & Flushing Ave,40.6979399999919,-73.96986847999537,17117
Clinton Ave & Myrtle Ave,40.69326100002966,-73.96889600003838,43620
Clinton St & 4 Place,40.67835629999348,-74.00014501997958,20288
Clinton St & Centre St,40.6743399999982,-74.00194698000149,4995
Clinton St & Grand St,40.715595089981825,-73.98702949997735,64311
Clinton St & Joralemon St,40.69239502002998,-73.99337908998315,45129
Clinton St & Tillary St,40.69619199997881,-73.99121799996625,27314
Clinton St & Union St,40.68311640000552,-73.99785267002392,21110
Coffey St & Conover St,40.6772360000035,-74.0156649999937,10083
Columbia Heights & Cranberry St,40.70037867000565,-73.99548059001405,15557
Columbia St & Degraw St,40.6859296000069,-74.00242364003334,21908
Columbia St & Kane St,40.687631550009854,-74.00162560002111,19369
Columbia St & Lorraine St,40.67470550000102,-74.00755720000228,1656
Columbia St & Rivington St,40.717399730037066,-73.98016555001746,38804
Columbia St & W 9 St,40.6769993000016,-74.00647133999728,3433
Columbus Ave & W 103 St,40.79693469999284,-73.96434122909017,11196
Columbus Ave & W 72 St,40.77705749996206,-73.97898475005451,133685
Columbus Ave & W 95 St,40.791955699971005,-73.96808699995341,47032
Commerce St & Van Brunt St,40.681211699998606,-74.00860911999236,7307
Concord St & Bridge St,40.697665639996785,-73.98476437000751,15017
Congress St & Clinton St,40.68815289998507,-73.99520919002099,29443
Cooper Square & Astor Pl,40.72951496214144,-73.99075269699097,142478
Court St & Nelson St,40.67639470000332,-73.99869893001674,14955
Court St & State St,40.69023750000611,-73.99203073991234,50903
Crescent St & 30 Ave,40.76869200000812,-73.924957399992,10474
Crescent St & 34 Ave,40.76108000000371,-73.93056200001162,8385
Crescent St & 35 Ave,40.75962759999739,-73.93214549998929,6475
Crescent St & Broadway,40.7633588999863,-73.92864709999454,15310
Crescent St & Ditmars Blvd,40.77871849999509,-73.9145644999906,8397
Crown St & Bedford Ave,40.66656300000329,-73.95674100000168,3928
Cumberland St & Lafayette Ave,40.68753405999874,-73.9726518299572,29176
DeKalb Ave & Hudson Ave,40.689888000018534,-73.98101300001088,43108
DeKalb Ave & S Portland Ave,40.68981034999097,-73.97493121003204,28467
DeKalb Ave & Skillman St,40.69064950000028,-73.95643107001835,17974
DeKalb Ave & Vanderbilt Ave,40.68940746999976,-73.96885458003834,36331
Dean St & 4 Ave,40.683124890035394,-73.97895136997947,48794
Dean St & Franklin Ave,40.67759206937608,-73.95563721656801,13670
Dean St & Hoyt St,40.68644419999388,-73.98759104000756,19263
Degraw St & Hoyt St,40.68199044269332,-73.99079024791719,15142
Degraw St & Smith St,40.682915100010845,-73.99318208002941,22460
Devoe St & Lorimer St,40.713352262241926,-73.9491033554077,21141
Ditmars Blvd & 19 St,40.781450000006465,-73.91833020001009,12287
Division Av & Hooper St,40.70684203101254,-73.95443539653361,1039
Division Ave & Hooper St,40.706912539993844,-73.95441667000858,6438
Division Ave & Marcy Ave,40.70708701000199,-73.95796783000604,6997
Division St & Bowery,40.714130890046924,-73.99704680000305,65285
Douglass St & 3 Ave,40.680213300019524,-73.98432695002924,27077
Douglass St & 4 Ave,40.67927880000522,-73.9815400400373,21767
Driggs Ave & Lorimer St,40.721791340009176,-73.95041540001455,20612
Driggs Ave & N 9 St,40.71816969454234,-73.95520135760306,4077
Driggs Ave & N Henry St,40.72325000001728,-73.94308000005368,27482
Duane St & Greenwich St,40.71748752001762,-74.01045540006113,41742
Duffield St & Willoughby St,40.69221588999664,-73.98428440000802,33466
