station name,station latitude,station longitude,use_count
6 Ave & Spring St,40.72525569520274,-74.00412082672119,78054
6 Ave & W 33 St,40.74901270990366,-73.98848394995899,148125
6 St & 7 Ave,40.668662699990506,-73.9798806699914,13907
7 St & 3 Ave,40.672602981503395,-73.98983001708984,12601
7 St & 5 Ave,40.67049219999301,-73.98541674997831,16446
8 Ave & W 16 St,40.740983,-74.00170200000002,2
8 Ave & W 31 St,40.75058534712648,-73.9946848154068,158388
8 Ave & W 33 St,40.751551000127705,-73.99393399992023,166876
8 Ave & W 52 St,40.763707390046555,-73.98516150004697,87705
8D Mobile 01,45.50626419100106,-73.56890559196472,156
8D OPS 01,40.66290776831685,-73.99972200393677,4
8D QC Station 01,45.506364054011385,-73.5694634914398,8
9 Ave & W 22 St,40.74549729998225,-74.00197139008517,119416
9 Ave & W 28 St,40.74937024195825,-73.99923384189607,50807
9 Ave & W 45 St,40.76019251998637,-73.99125509990625,114187
9 St & 44 Rd,40.74965999999787,-73.9520999999957,7273
Adam Clayton Powell Blvd & W 115 St,40.80253500000788,-73.9532422999924,10778
Adam Clayton Powell Blvd & W 118 St,40.80437199999673,-73.95147500000716,11184
Adam Clayton Powell Blvd & W 123 St,40.80783160000074,-73.94937299998209,14553
Adam Clayton Powell Blvd & W 126 St,40.80949534778404,-73.94776493310928,11991
Adelphi St & Myrtle Ave,40.693082570019634,-73.97178913000913,36287
Albany Ave & Fulton St,40.68001049999644,-73.93847499999698,4348
Allen St & Hester St,40.71605865994484,-73.99190759005437,86749
Allen St & Rivington St,40.720195760017525,-73.98997825009849,93621
Allen St & Stanton St,40.72205499990291,-73.98911099993488,102461
Amsterdam Ave & W 119 St,40.80862489999414,-73.95962140000084,15396
Amsterdam Ave & W 125 St,40.81335800001055,-73.95646100001629,13625
Amsterdam Ave & W 66 St,40.77466710002725,-73.98470567000163,31952
Amsterdam Ave & W 73 St,40.77966809002622,-73.98093044757842,98957
Amsterdam Ave & W 79 St,40.78293909999764,-73.97865170005207,55659
Amsterdam Ave & W 82 St,40.78524672002942,-73.97667321003361,53968
Apache,40.66976709185003,-73.99474382400513,6
Astoria Park S & Shore Blvd,40.77669999999181,-73.92763100001794,10597
Atlantic Ave & Fort Greene Pl,40.68382604000952,-73.97632328001497,27642
Atlantic Ave & Furman St,40.69165182998696,-73.9999786000438,48371
Avenue D & E 12 St,40.72580613999323,-73.97422493996099,22145
Avenue D & E 3 St,40.72082833997665,-73.97793172005974,44838
Avenue D & E 8 St,40.72368361000287,-73.97574812996228,31354
Baltic St & 5 Ave,40.67957659998935,-73.97854971000854,29787
Bank St & Hudson St,40.736528890044305,-74.00618026003538,72394
Bank St & Washington St,40.73619670001514,-74.00859207005472,52042
Banker St & Meserole Ave,40.72606000001086,-73.95620999997801,30892
Barclay St & Church St,40.7129122400405,-74.01020233990828,90886
Barrow St & Hudson St,40.7317242799517,-74.0067443598811,120142
Bayard St & Baxter St,40.716021180011516,-73.99974371996846,67846
Bayard St & Leonard St,40.719155716950894,-73.94885390996933,17347
Bedford Ave & Bergen St,40.676367999988585,-73.95291800002957,16947
Bedford Ave & Nassau Ave,40.723116510035844,-73.95212324007115,52524
Bedford Ave & S 9 St,40.7085307399978,-73.96408963000655,8443
Bergen St & Flatbush Ave,40.68094472346298,-73.97567331790923,28349
Bergen St & Smith St,40.68674430002713,-73.99063168000423,72453
Bergen St & Vanderbilt Ave,40.679438799991125,-73.96804379998156,25439
Berkeley Pl & 6 Ave,40.67653039998254,-73.97846878997314,18431
Berkeley Pl & 7 Ave,40.675146838714134,-73.9752320945263,35163
Berry St & N 8 St,40.71900949999696,-73.95852515005674,50893
Bialystoker Pl & Delancey St,40.71622644000729,-73.98261205996421,28467
Bike Mechanics at Riis Room A,40.725225769382476,-73.97468617200501,4
Bike Mechanics at Riis Room B,40.67233267189711,-73.99706125259401,2
Boerum St & Broadway,40.70538077001345,-73.94976519001014,12386
Bond St & Bergen St,40.68496680001373,-73.98620771995522,25895
Bond St & Fulton St,40.6896218878799,-73.98304268717766,49328
Bressler,40.64653836709657,-74.0165877342224,336
Broad St & Bridge St,40.703651819983705,-74.01167796996154,25558
Broadway & 12 St,40.76680000000256,-73.93477739999352,7316
Broadway & Battery Pl,40.704633339893455,-74.01361706009476,100210
Broadway & Berry St,40.71044554002128,-73.96525062996267,40624
Broadway & E 14 St,40.73454567018766,-73.99074142009619,182412
Broadway & E 22 St,40.74034320003998,-73.9895510898029,212835
Broadway & Moylan Pl,40.814325600018456,-73.95902550004652,26136
Broadway & Roebling St,40.70924826276323,-73.96063148975372,31503
Broadway & W 122 St,40.812056199997,-73.96125469999895,10917
Broadway & W 25 St,40.742868773029684,-73.98918628692627,146670
Broadway & W 29 St,40.74620089998671,-73.98855722994352,116197
Broadway & W 32 St,40.74854861996604,-73.98808415985069,109791
Broadway & W 36 St,40.75097710999982,-73.98765427993499,76260
Broadway & W 37 St,40.751726320012395,-73.9875352299201,45811
Broadway & W 38 St,40.752996409940145,-73.98721619007985,73459
Broadway & W 41 St,40.75513557000046,-73.98658031986282,131350
Broadway & W 49 St,40.760683271027524,-73.98452728986742,121680
